                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    2395312 |  292982650 |  292875692 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  186643600 |  186643600 |  186643600 |  186643600 |  186643600 |  186643600 |  186643600 |  186643600 |  186643600 |  186643600 |  186643600 |  186643600 |  186643600 |  186643600 |  186643600 |  186643600
  IPC                                |       0.01 |       1.57 |       1.57 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   46660900 |   46660900 |   46660900 |   46660900 |   46660900 |   46660900 |   46660900 |   46660900 |   46660900 |   46660900 |   46660900 |   46660900 |   46660900 |   46660900 |   46660900 |   46660900
  Idle time (ns)                     |   45781134 |     880294 |     902040 |   46660900 |   46660900 |   46660900 |   46660900 |   46660900 |   46660900 |   46660900 |   46660900 |   46660900 |   46660900 |   46660900 |   46660900 |   46660900
  Idle time (%)                      |      98.1% |       1.9% |       1.9% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     331154 |   26875748 |   26860859 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |      16292 |     890074 |     888917 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      4.69% |      3.21% |      3.20% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       6.80 |       3.04 |       3.04 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     203050 |   41517308 |   41501374 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |        189 |         73 |         49 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.09% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     813184 |  104829710 |  104788717 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |       2292 |       1495 |        187 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.28% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.96 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       2481 |       1568 |        236 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |        490 |        201 |        169 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     19.75% |     12.82% |     71.61% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.20 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
