CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.00       0.00       0.00
depend-int             0.05       0.00       0.00       0.00
depend-branch          0.05       0.00       0.00       0.00
issue-port2            0.02       0.00       0.00       0.00
branch                 0.50       0.00       0.00       0.00
mem                    0.00       0.63       0.60       0.64
mem-l1d                0.07       0.00       0.00       0.00
mem-l2                 0.02       0.00       0.00       0.00
mem-l3                 0.22       0.00       0.00       0.00
mem-dram               0.44       0.00       0.00       0.00
sync-futex             0.04       0.00       0.00       0.00
imbalance-start        0.00      41.06      41.51      40.49
imbalance-end          0.00       9.54       9.65       9.41
other                  0.03       0.54       0.57       0.50

total                  1.69      51.77      52.34      51.04
