CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.00       0.06       0.06       0.07
depend-branch          0.00       0.02       0.02       0.00
issue                  0.00       0.00       0.00       0.05
issue-port2            0.00       0.02       0.02       0.00
issue-port015          0.00       0.02       0.02       0.00
branch                 0.00       0.14       0.12       0.10
ifetch                 0.00       0.08       0.11       0.14
mem-l1d                0.00       0.10       0.09       0.09
mem-dram               0.15       0.02       0.03       0.05
sync-futex             4.87       0.00       0.38       0.75
sync-unscheduled        0.00       0.03       0.05       0.06
imbalance-start        0.00       0.00       0.01       0.07
imbalance-end          0.00       0.07       0.00       1.24
other                  0.22       0.02       0.03       0.04

total                  5.48       0.83       1.19       2.89
