CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.00       0.05       0.05       0.00
depend-fp              0.04       0.13       0.13       0.00
depend-branch          0.00       0.01       0.01       0.00
issue-port015          0.00       0.01       0.01       0.00
branch                 0.04       0.05       0.05       0.00
ifetch                 0.00       0.03       0.03       0.00
mem-l1d                0.00       0.05       0.05       0.00
mem-l3                 0.03       0.01       0.01       0.00
sync-futex             2.47       0.15       0.15       0.00
imbalance-start        0.00       0.01       0.01       0.17
imbalance-end          0.00       0.00       0.00      10.82
other                  0.13       0.02       0.02       0.22

total                  2.96       0.77       0.77      11.46
