                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  100082737 |  533052396 |  531921401 |   25096243
  Cycles                             |  405959600 |  405959600 |  405959600 |  405959600
  IPC                                |       0.25 |       1.31 |       1.31 |       0.06
  Time (ns)                          |  101489900 |  101489900 |  101489900 |  101489900
  Idle time (ns)                     |   89190152 |   15538812 |   15614920 |   98580270
  Idle time (%)                      |      87.9% |      15.3% |      15.4% |      97.1%
Branch predictor stats               |            |            |            |           
  num correct                        |    5526671 |   50089639 |   49884841 |    1567152
  num incorrect                      |     130918 |    1281152 |    1285924 |       8098
  misprediction rate                 |      2.31% |      2.49% |      2.51% |      0.51%
  mpki                               |       1.31 |       2.40 |       2.42 |       0.32
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   10442414 |   50748789 |   50627620 |     347185
    num misses                       |        815 |         78 |         76 |         92
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.03%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   25616836 |  136627204 |  136224577 |    7855938
    num misses                       |      13823 |     544048 |     530953 |       2335
    miss rate                        |      0.05% |      0.40% |      0.39% |      0.03%
    mpki                             |       0.14 |       1.02 |       1.00 |       0.09
  L2 TLB                             |            |            |            |           
    num accesses                     |      14638 |     544126 |     531029 |       2427
    num misses                       |       3131 |      26432 |      23519 |        950
    miss rate                        |     21.39% |      4.86% |      4.43% |     39.14%
    mpki                             |       0.03 |       0.05 |       0.04 |       0.04
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   10442414 |   50748789 |   50627620 |     347185
    num cache misses                 |      20349 |    1247944 |    1247825 |       4845
    miss rate                        |      0.19% |      2.46% |      2.46% |      1.40%
    mpki                             |       0.20 |       2.34 |       2.35 |       0.19
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   25616836 |  136627204 |  136224577 |    7855938
    num cache misses                 |     376751 |    3827525 |    3803258 |     140031
    miss rate                        |      1.47% |      2.80% |      2.79% |      1.78%
    mpki                             |       3.76 |       7.18 |       7.15 |       5.58
  Cache L2                           |            |            |            |           
    num cache accesses               |     411522 |    5076459 |    5051655 |     144884
    num cache misses                 |     366828 |     373705 |     330288 |     124143
    miss rate                        |     89.14% |      7.36% |      6.54% |     85.68%
    mpki                             |       3.67 |       0.70 |       0.62 |       4.95
  Cache L3                           |            |            |            |           
    num cache accesses               |     381890 |     375260 |     331800 |     124151
    num cache misses                 |      58779 |      28224 |       2995 |      44446
    miss rate                        |     15.39% |      7.52% |      0.90% |     35.80%
    mpki                             |       0.59 |       0.05 |       0.01 |       1.77
DRAM summary                         |            |            |            |           
  num dram accesses                  |     137296 |          0 |          0 |          0
  average dram access latency (ns)   |   14348.56 |        inf |        inf |        inf
  average dram queueing delay        |   14295.13 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      28133 |       3303 |       2429 |       6253
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
