Beat	Tag	Timestamp	Global Rate	Window Rate	Instant Rate	Min Rate	Max Rate
0	-1	824800	0.000000	0.000000	0.000000	0.000000	100.000000
1	0	894600	28653.295129	14326.647461	14326.647564	0.000000	100.000000
2	0	6849500	497.950105	331.966736	167.928932	0.000000	100.000000
3	0	12749300	335.443834	251.582886	169.497271	0.000000	100.000000
4	0	17489900	300.028203	240.022568	210.943762	0.000000	100.000000
5	0	23325100	266.663111	222.219254	171.373732	0.000000	100.000000
6	0	30244900	237.932570	203.942200	144.512847	0.000000	100.000000
7	0	37163200	220.152786	192.633682	144.544180	0.000000	100.000000
8	0	42961400	213.591035	189.858704	172.467317	0.000000	100.000000
9	0	53167100	191.050068	171.945068	97.984460	0.000000	100.000000
10	0	60124600	185.498096	168.634628	143.729788	0.000000	100.000000
11	0	66020100	184.062348	168.723816	169.620897	0.000000	100.000000
12	0	71898100	182.909757	168.839783	170.125893	0.000000	100.000000
13	0	77771900	181.943179	168.947250	170.247540	0.000000	100.000000
14	0	83665800	181.069760	168.998444	169.666944	0.000000	100.000000
15	0	89691500	180.044944	168.792145	165.955823	0.000000	100.000000
16	0	96620700	177.460622	167.021759	144.316804	0.000000	100.000000
