CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.00       0.00       0.00
depend-int             0.05       0.00       0.00       0.00
depend-branch          0.05       0.00       0.00       0.00
issue-port2            0.02       0.00       0.00       0.00
branch                 0.49       0.00       0.00       0.00
mem-l1d                0.06       0.00       0.00       0.00
mem-l3                 0.22       0.36       0.39       0.42
mem-dram               0.44       0.00       0.00       0.00
sync-futex             0.07       0.00       0.00       0.00
imbalance-start        0.00      20.86      20.52      20.32
imbalance-end          0.00       4.94       4.86       4.81
other                  0.04       0.81       0.76       0.72

total                  1.70      26.97      26.53      26.26
