CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.00       0.00       0.00
depend-int             0.05       0.00       0.00       0.00
depend-branch          0.05       0.00       0.00       0.00
issue-port2            0.02       0.00       0.00       0.00
branch                 0.50       0.00       0.00       0.00
mem                    0.00       0.64       0.65       0.62
mem-l1d                0.06       0.00       0.00       0.00
mem-l3                 0.22       0.00       0.00       0.00
mem-dram               0.44       0.00       0.00       0.00
sync-futex             0.04       0.00       0.00       0.00
imbalance-start        0.00      41.57      40.95      42.03
imbalance-end          0.00       9.74       9.59       9.85
other                  0.04       0.54       0.50       0.57

total                  1.67      52.48      51.70      53.06
