CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend                 0.00       0.00       0.00       0.11
depend-int             0.09       0.00       0.00       0.00
depend-branch          0.02       0.00       0.00       0.00
issue-port2            0.02       0.00       0.00       0.00
branch                 0.23       0.00       0.13       0.11
ifetch                 0.15       0.00       0.00       0.00
mem                    0.00       0.15       0.15       0.14
mem-l1d                0.04       0.00       0.00       0.00
mem-dram               0.59       0.00       0.00       0.00
sync-futex             0.14       0.15       0.00       0.24
imbalance-start        0.00      10.71      10.37       9.08
imbalance-end          0.00       0.49       0.43       0.24
other                  0.02       0.33       0.37       0.08

total                  1.55      12.08      11.69      10.24
