CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.09       0.00       0.00       0.00
branch                 0.23       0.11       0.11       0.11
ifetch                 0.15       0.00       0.00       0.00
mem-l3                 0.00       0.15       0.20       0.15
mem-dram               0.59       0.00       0.00       0.00
sync-futex             3.74       4.94       6.16       5.15
imbalance-start        0.00       2.51       2.54       2.12
imbalance-end          0.00       1.32       0.16       0.00
other                  0.11       0.16       0.14       0.20

total                  5.15       9.43       9.55       7.98
