                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   12187061 |  651013508 |  644481945 |  663064167
  Cycles                             |  464243200 |  464243200 |  464243200 |  464243200
  IPC                                |       0.03 |       1.40 |       1.39 |       1.43
  Time (ns)                          |  116060800 |  116060800 |  116060800 |  116060800
  Idle time (ns)                     |  114297094 |    3515532 |    4025540 |    4052958
  Idle time (%)                      |      98.5% |       3.0% |       3.5% |       3.5%
Branch predictor stats               |            |            |            |           
  num correct                        |     906431 |   84479132 |   84218134 |   87685891
  num incorrect                      |      27467 |    1479543 |    1374838 |    1461591
  misprediction rate                 |      2.94% |      1.72% |      1.61% |      1.64%
  mpki                               |       2.25 |       2.27 |       2.13 |       2.20
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    1732898 |   70961707 |   69446598 |   72882648
    num misses                       |        203 |         47 |         46 |         46
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |    5015876 |  257182373 |  255063959 |  262852011
    num misses                       |       2531 |      68317 |        697 |       2929
    miss rate                        |      0.05% |      0.03% |      0.00% |      0.00%
    mpki                             |       0.21 |       0.10 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |       2734 |      68364 |        743 |       2975
    num misses                       |        542 |        141 |        134 |        140
    miss rate                        |     19.82% |      0.21% |     18.03% |      4.71%
    mpki                             |       0.04 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    1732898 |   70961707 |   69446598 |   72882648
    num cache misses                 |       8008 |       2116 |       1285 |       1292
    miss rate                        |      0.46% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.66 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    5015876 |  257182373 |  255063959 |  262852011
    num cache misses                 |      42971 |    1884693 |    1660121 |    1540919
    miss rate                        |      0.86% |      0.73% |      0.65% |      0.59%
    mpki                             |       3.53 |       2.90 |       2.58 |       2.32
  Cache L2                           |            |            |            |           
    num cache accesses               |      60410 |    2463703 |    2189617 |    1947399
    num cache misses                 |      18365 |    1410267 |    1422121 |    1262932
    miss rate                        |     30.40% |     57.24% |     64.95% |     64.85%
    mpki                             |       1.51 |       2.17 |       2.21 |       1.90
  Cache L3                           |            |            |            |           
    num cache accesses               |      28008 |    1987203 |    1950272 |    1667930
    num cache misses                 |      13789 |        408 |        188 |        193
    miss rate                        |     49.23% |      0.02% |      0.01% |      0.01%
    mpki                             |       1.13 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |      14565 |          0 |          0 |          0
  average dram access latency (ns)   |      72.78 |        inf |        inf |        inf
  average dram queueing delay        |      19.35 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       9258 |         68 |         30 |         27
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
