                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   37019854 |   88680946 |   33872573 |   38504446 |   45404911 |   51652099 |   57979368 |  179221165 |  143742024 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  237834400 |  237834400 |  237834400 |  237834400 |  237834400 |  237834400 |  237834400 |  237834400 |  237834400 |  237834400 |  237834400 |  237834400 |  237834400 |  237834400 |  237834400 |  237834400
  IPC                                |       0.16 |       0.37 |       0.14 |       0.16 |       0.19 |       0.22 |       0.24 |       0.75 |       0.60 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   59458600 |   59458600 |   59458600 |   59458600 |   59458600 |   59458600 |   59458600 |   59458600 |   59458600 |   59458600 |   59458600 |   59458600 |   59458600 |   59458600 |   59458600 |   59458600
  Idle time (ns)                     |   52774013 |   43597201 |   52547154 |   51270708 |   49975618 |   48763370 |   47509974 |   17352536 |   25058091 |   59458600 |   59458600 |   59458600 |   59458600 |   59458600 |   59458600 |   59458600
  Idle time (%)                      |      88.8% |      73.3% |      88.4% |      86.2% |      84.1% |      82.0% |      79.9% |      29.2% |      42.1% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1772183 |    3213718 |    1226657 |    1351277 |    1562184 |    1742459 |    1939934 |    5392215 |    4352044 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |      71197 |     804663 |     169978 |     190634 |     202908 |     203732 |     208517 |    1008137 |     774133 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      3.86% |     20.02% |     12.17% |     12.36% |     11.50% |     10.47% |      9.71% |     15.75% |     15.10% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       1.92 |       9.07 |       5.02 |       4.95 |       4.47 |       3.94 |       3.60 |       5.63 |       5.39 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    3516194 |   10349836 |    3776618 |    4180619 |    4791555 |    5329138 |    5891099 |   18004185 |   14491142 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |        340 |        103 |        541 |        510 |        517 |        512 |        511 |       1007 |        936 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.01% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
