CPI                  Core 0     Core 1     Core 2     Core 3     Core 4     Core 5     Core 6     Core 7     Core 8     Core 9     Core 10    Core 11    Core 12    Core 13    Core 14    Core 15  
base                   0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.00       0.00       0.00       0.00       0.00       0.00       0.00
depend                 0.00       0.00       0.08       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
depend-int             0.00       0.07       0.00       0.06       0.06       0.05       0.05       0.05       0.05       0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue                  0.00       0.03       0.00       0.00       0.00       0.05       0.05       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue-port2            0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.03       0.03       0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue-port015          0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.02       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
branch                 0.00       0.17       0.09       0.09       0.08       0.07       0.07       0.12       0.11       0.00       0.00       0.00       0.00       0.00       0.00       0.00
ifetch                 0.08       0.06       0.19       0.20       0.19       0.19       0.19       0.21       0.23       0.00       0.00       0.00       0.00       0.00       0.00       0.00
mem-l1d                0.00       0.11       0.09       0.08       0.07       0.06       0.05       0.07       0.07       0.00       0.00       0.00       0.00       0.00       0.00       0.00
mem-dram               0.20       0.00       0.00       0.10       0.11       0.13       0.14       0.17       0.17       0.00       0.00       0.00       0.00       0.00       0.00       0.00
sync-futex             5.70       0.00       1.05       0.82       0.62       0.51       0.46       0.15       0.52       0.00       0.00       0.00       0.00       0.00       0.00       0.00
sync-unscheduled        0.00       0.00       0.09       0.07       0.06       0.06       0.05       0.02       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
imbalance-start        0.00       0.00       0.00       0.14       0.18       0.22       0.24       0.09       0.17       0.00       0.00       0.00       0.00       0.00       0.00       0.00
imbalance-end          0.00       1.94       5.00       4.30       3.54       3.00       2.52       0.12       0.00   237834429.00   237834429.00   237834429.00   237834429.00   237834429.00   237834429.00   237834429.00
other                  0.19       0.06       0.18       0.08       0.08       0.02       0.02       0.03       0.05       0.00       0.00       0.00       0.00       0.00       0.00       0.00

total                  6.42       2.68       7.02       6.18       5.24       4.60       4.10       1.33       1.65   237834429.00   237834429.00   237834429.00   237834429.00   237834429.00   237834429.00   237834429.00
