                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   36980139 |  294007073 |  247854686 |   97963956
  Cycles                             |  237608400 |  237608400 |  237608400 |  237608400
  IPC                                |       0.16 |       1.24 |       1.04 |       0.41
  Time (ns)                          |   59402100 |   59402100 |   59402100 |   59402100
  Idle time (ns)                     |   53666189 |    8308430 |   17979012 |   42029779
  Idle time (%)                      |      90.3% |      14.0% |      30.3% |      70.8%
Branch predictor stats               |            |            |            |           
  num correct                        |    1566057 |    9465023 |    7817353 |    3362171
  num incorrect                      |      59001 |    1973751 |    1444120 |     442753
  misprediction rate                 |      3.63% |     17.25% |     15.59% |     11.64%
  mpki                               |       1.60 |       6.71 |       5.83 |       4.52
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    3553212 |   31203872 |   26067189 |   10574509
    num misses                       |        445 |       3176 |       3573 |       2996
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.03%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.03
  D-TLB                              |            |            |            |           
    num accesses                     |   13569851 |  102899776 |   86500256 |   32453521
    num misses                       |      12269 |     306944 |     370730 |     188951
    miss rate                        |      0.09% |      0.30% |      0.43% |      0.58%
    mpki                             |       0.33 |       1.04 |       1.50 |       1.93
  L2 TLB                             |            |            |            |           
    num accesses                     |      12714 |     310120 |     374303 |     191947
    num misses                       |       3816 |      55577 |      59573 |      13890
    miss rate                        |     30.01% |     17.92% |     15.92% |      7.24%
    mpki                             |       0.10 |       0.19 |       0.24 |       0.14
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    3553212 |   31203872 |   26067189 |   10574509
    num cache misses                 |      70316 |    2326533 |    2183299 |    1352784
    miss rate                        |      1.98% |      7.46% |      8.38% |     12.79%
    mpki                             |       1.90 |       7.91 |       8.81 |      13.81
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   13569851 |  102899776 |   86500256 |   32453521
    num cache misses                 |     268476 |    2020771 |    2237994 |    1034236
    miss rate                        |      1.98% |      1.96% |      2.59% |      3.19%
    mpki                             |       7.26 |       6.87 |       9.03 |      10.56
  Cache L2                           |            |            |            |           
    num cache accesses               |     339148 |    4351410 |    4423902 |    2388092
    num cache misses                 |     249875 |     829929 |     870842 |     306467
    miss rate                        |     73.68% |     19.07% |     19.68% |     12.83%
    mpki                             |       6.76 |       2.82 |       3.51 |       3.13
  Cache L3                           |            |            |            |           
    num cache accesses               |     250300 |     843838 |     885383 |     316449
    num cache misses                 |     143171 |     152336 |      92650 |      57848
    miss rate                        |     57.20% |     18.05% |     10.46% |     18.28%
    mpki                             |       3.87 |       0.52 |       0.37 |       0.59
DRAM summary                         |            |            |            |           
  num dram accesses                  |     683770 |          0 |          0 |          0
  average dram access latency (ns)   |    3060.47 |        inf |        inf |        inf
  average dram queueing delay        |    3007.04 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      9.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      62882 |      98088 |      38717 |      22943
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
