CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.09       0.04       0.07       0.07
depend-fp              0.00       0.06       0.15       0.15
depend-branch          0.02       0.00       0.00       0.00
issue                  0.03       0.00       0.00       0.00
issue-port2            0.00       0.03       0.00       0.00
branch                 0.23       0.06       0.10       0.09
ifetch                 0.15       0.03       0.00       0.07
mem-l1d                0.04       0.06       0.07       0.07
mem-dram               0.59       0.02       0.08       0.05
sync-futex             0.53       0.00       0.05       0.05
imbalance-start        0.00       1.60       3.09       2.58
imbalance-end          0.00       0.04       0.38       0.19
other                  0.01       0.06       0.10       0.06

total                  1.94       2.24       4.34       3.64
