CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.05       0.00       0.00       0.00
depend-branch          0.05       0.00       0.00       0.00
issue-port2            0.02       0.00       0.00       0.00
branch                 0.60       0.00       0.00       0.00
mem-l1d                0.06       0.00       0.00       0.00
mem-l3                 0.23       0.49       0.42       0.48
mem-dram               0.60       0.00       0.00       0.00
sync-futex             0.12       0.00       0.00       0.00
imbalance-start        0.00      15.51      15.41      15.44
imbalance-end          0.00       3.70       3.68       3.69
other                  0.04       0.42       0.48       0.43

total                  2.02      20.38      20.25      20.29
