                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   49853387 |   91192122 |   91212655 |          0
  Cycles                             |  356854800 |  356854800 |  356854800 |  356854800
  IPC                                |       0.14 |       0.26 |       0.26 |       0.00
  Time (ns)                          |   89213700 |   89213700 |   89213700 |   89213700
  Idle time (ns)                     |   60339581 |   28878355 |   29572074 |   89213700
  Idle time (%)                      |      67.6% |      32.4% |      33.1% |     100.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    8265874 |    5219322 |    5231978 |          0
  num incorrect                      |     524043 |     133206 |     121294 |          0
  misprediction rate                 |      5.96% |      2.49% |      2.27% |      0.00%
  mpki                               |      10.51 |       1.46 |       1.33 |       0.00
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    7573559 |   10123744 |   10126912 |          0
    num misses                       |        120 |         25 |         25 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   17200328 |   26819935 |   26824445 |          0
    num misses                       |        515 |         81 |         97 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |        635 |        106 |        122 |          0
    num misses                       |        301 |        101 |        102 |          0
    miss rate                        |     47.40% |     95.28% |     83.61% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    7573559 |   10123744 |   10126912 |          0
    num cache misses                 |       2403 |        154 |        153 |          0
    miss rate                        |      0.03% |      0.00% |      0.00% |       inf%
    mpki                             |       0.05 |       0.00 |       0.00 |        inf
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   17200328 |   26819935 |   26824445 |          0
    num cache misses                 |      11021 |      82333 |      83494 |          0
    miss rate                        |      0.06% |      0.31% |      0.31% |       inf%
    mpki                             |       0.22 |       0.90 |       0.92 |        inf
  Cache L2                           |            |            |            |           
    num cache accesses               |      13514 |      82490 |      83650 |          0
    num cache misses                 |      10192 |       1549 |       1564 |          0
    miss rate                        |     75.42% |      1.88% |      1.87% |       inf%
    mpki                             |       0.20 |       0.02 |       0.02 |        inf
  Cache L3                           |            |            |            |           
    num cache accesses               |      10285 |       1552 |       1567 |          0
    num cache misses                 |       8721 |        262 |        395 |          0
    miss rate                        |     84.79% |     16.88% |     25.21% |       inf%
    mpki                             |       0.17 |       0.00 |       0.00 |        inf
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9378 |          0 |          0 |          0
  average dram access latency (ns)   |      67.66 |        inf |        inf |        inf
  average dram queueing delay        |      14.23 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       2513 |        209 |        313 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
