CPI                  Core 0     Core 1     Core 2     Core 3     Core 4     Core 5     Core 6     Core 7     Core 8     Core 9     Core 10    Core 11    Core 12    Core 13    Core 14    Core 15  
base                   0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.00       0.00       0.00       0.00
depend-int             0.03       0.07       0.07       0.07       0.07       0.07       0.07       0.07       0.07       0.07       0.07       0.00       0.00       0.00       0.00       0.00
depend-fp              0.04       0.14       0.14       0.14       0.14       0.14       0.14       0.14       0.14       0.14       0.14       0.00       0.00       0.00       0.00       0.00
issue                  0.00       0.02       0.02       0.02       0.02       0.02       0.02       0.02       0.02       0.02       0.02       0.00       0.00       0.00       0.00       0.00
issue-port1            0.02       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
branch                 0.05       0.06       0.06       0.06       0.06       0.06       0.06       0.06       0.06       0.06       0.06       0.00       0.00       0.00       0.00       0.00
ifetch                 0.02       0.03       0.03       0.04       0.03       0.03       0.04       0.03       0.03       0.03       0.03       0.00       0.00       0.00       0.00       0.00
mem-l1d                0.02       0.05       0.05       0.05       0.05       0.05       0.05       0.05       0.05       0.05       0.05       0.07       0.00       0.00       0.00       0.00
mem-dram               0.24       0.04       0.03       0.05       0.04       0.04       0.04       0.03       0.04       0.04       0.03       0.26       0.00       0.00       0.00       0.00
sync-futex             0.80       0.97       0.96       0.98       0.97       0.96       0.95       0.95       0.96       0.96       0.96       0.00       0.00       0.00       0.00       0.00
imbalance-start        0.00       0.04       0.04       0.04       0.04       0.04       0.04       0.04       0.04       0.04       0.04       0.18       0.00       0.00       0.00       0.00
imbalance-end          0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       5.09   148527540.00   148527540.00   148527540.00   148527540.00
other                  0.01       0.04       0.04       0.04       0.04       0.04       0.04       0.04       0.04       0.04       0.04       0.06       0.00       0.00       0.00       0.00

total                  1.49       1.71       1.70       1.74       1.70       1.70       1.70       1.68       1.70       1.70       1.69       5.92   148527540.00   148527540.00   148527540.00   148527540.00
