                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   49890498 |   92098829 |   92126314 |   92135625
  Cycles                             |   94359200 |   94359200 |   94359200 |   94359200
  IPC                                |       0.53 |       0.98 |       0.98 |       0.98
  Time (ns)                          |   23589800 |   23589800 |   23589800 |   23589800
  Idle time (ns)                     |   15597906 |    8019350 |    8381855 |    8392673
  Idle time (%)                      |      66.1% |      34.0% |      35.5% |      35.6%
Branch predictor stats               |            |            |            |           
  num correct                        |    8276033 |    5379590 |    5396991 |    5392545
  num incorrect                      |     519386 |     154954 |     138710 |     143691
  misprediction rate                 |      5.91% |      2.80% |      2.51% |      2.60%
  mpki                               |      10.41 |       1.68 |       1.51 |       1.56
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    7583255 |   10317054 |   10320556 |   10324193
    num misses                       |        137 |         58 |         58 |         58
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   17212768 |   27221418 |   27227333 |   27230075
    num misses                       |        749 |        784 |       2472 |       1716
    miss rate                        |      0.00% |      0.00% |      0.01% |      0.01%
    mpki                             |       0.02 |       0.01 |       0.03 |       0.02
  L2 TLB                             |            |            |            |           
    num accesses                     |        886 |        842 |       2530 |       1774
    num misses                       |        323 |        141 |        147 |        153
    miss rate                        |     36.46% |     16.75% |      5.81% |      8.62%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    7583255 |   10317054 |   10320556 |   10324193
    num cache misses                 |       2840 |       3974 |       4010 |       4099
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.06 |       0.04 |       0.04 |       0.04
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   17212768 |   27221418 |   27227333 |   27230075
    num cache misses                 |      11411 |      92976 |      91646 |      91443
    miss rate                        |      0.07% |      0.34% |      0.34% |      0.34%
    mpki                             |       0.23 |       1.01 |       0.99 |       0.99
  Cache L2                           |            |            |            |           
    num cache accesses               |      14346 |      96998 |      95686 |      96069
    num cache misses                 |      10663 |       2760 |       2871 |       3265
    miss rate                        |     74.33% |      2.85% |      3.00% |      3.40%
    mpki                             |       0.21 |       0.03 |       0.03 |       0.04
  Cache L3                           |            |            |            |           
    num cache accesses               |      10761 |       2808 |       2901 |       3792
    num cache misses                 |       8912 |        307 |        233 |        424
    miss rate                        |     82.82% |     10.93% |      8.03% |     11.18%
    mpki                             |       0.18 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9876 |          0 |          0 |          0
  average dram access latency (ns)   |     517.87 |        inf |        inf |        inf
  average dram queueing delay        |     464.44 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       2568 |        197 |        141 |        240
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
