CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.00       0.25
depend-int             0.09       0.00       0.00       0.00
depend-branch          0.02       0.00       0.00       0.00
issue-port2            0.02       0.00       0.00       0.00
branch                 0.23       0.10       0.00       0.00
ifetch                 0.15       0.09       0.00       0.00
mem                    0.00       0.12       0.00       0.26
mem-l1d                0.04       0.00       0.00       0.00
mem-dram               0.59       0.00       0.00       0.00
sync-futex             0.16       0.13       0.90       0.56
imbalance-start        0.00       6.47      24.35      19.53
imbalance-end          0.00       0.17       1.70       1.31
other                  0.03       0.10       0.98       0.49

total                  1.57       7.43      27.93      22.39
