                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   11023878 |  680705320 |  668923312 |  710456997 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  594797600 |  594797600 |  594797600 |  594797600 |  594797600 |  594797600 |  594797600 |  594797600 |  594797600 |  594797600 |  594797600 |  594797600 |  594797600 |  594797600 |  594797600 |  594797600
  IPC                                |       0.02 |       1.14 |       1.12 |       1.19 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |  148699400 |  148699400 |  148699400 |  148699400 |  148699400 |  148699400 |  148699400 |  148699400 |  148699400 |  148699400 |  148699400 |  148699400 |  148699400 |  148699400 |  148699400 |  148699400
  Idle time (ns)                     |  147040376 |    2952658 |    3661742 |    3690962 |  148699400 |  148699400 |  148699400 |  148699400 |  148699400 |  148699400 |  148699400 |  148699400 |  148699400 |  148699400 |  148699400 |  148699400
  Idle time (%)                      |      98.9% |       2.0% |       2.5% |       2.5% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     727475 |   90937765 |   89626666 |   98234227 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |      18261 |    1632718 |    1418467 |    1465952 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      2.45% |      1.76% |      1.56% |      1.47% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       1.66 |       2.40 |       2.12 |       2.06 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1555181 |   45555334 |   43461618 |   43796960 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |        184 |         46 |         45 |         45 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
