                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   36980028 |  294007073 |  247854704 |   97963956
  Cycles                             |  238120800 |  238120800 |  238120800 |  238120800
  IPC                                |       0.16 |       1.23 |       1.04 |       0.41
  Time (ns)                          |   59530200 |   59530200 |   59530200 |   59530200
  Idle time (ns)                     |   53860424 |    8298458 |   17954391 |   42137353
  Idle time (%)                      |      90.5% |      13.9% |      30.2% |      70.8%
Branch predictor stats               |            |            |            |           
  num correct                        |    1563053 |    9465145 |    7815465 |    3362508
  num incorrect                      |      62005 |    1973629 |    1446010 |     442416
  misprediction rate                 |      3.82% |     17.25% |     15.61% |     11.63%
  mpki                               |       1.68 |       6.71 |       5.83 |       4.52
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    3553226 |   31203872 |   26067191 |   10574509
    num misses                       |        447 |       2711 |       2949 |       2517
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.02%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.03
  D-TLB                              |            |            |            |           
    num accesses                     |   13569800 |  102899776 |   86500264 |   32453521
    num misses                       |      18704 |     328406 |     363876 |     193632
    miss rate                        |      0.14% |      0.32% |      0.42% |      0.60%
    mpki                             |       0.51 |       1.12 |       1.47 |       1.98
  L2 TLB                             |            |            |            |           
    num accesses                     |      19151 |     331117 |     366825 |     196149
    num misses                       |       3941 |      56424 |      58033 |      13886
    miss rate                        |     20.58% |     17.04% |     15.82% |      7.08%
    mpki                             |       0.11 |       0.19 |       0.23 |       0.14
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    3553226 |   31203872 |   26067191 |   10574509
    num cache misses                 |      70271 |    2326010 |    2182509 |    1352673
    miss rate                        |      1.98% |      7.45% |      8.37% |     12.79%
    mpki                             |       1.90 |       7.91 |       8.81 |      13.81
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   13569800 |  102899776 |   86500264 |   32453521
    num cache misses                 |     268702 |    2015345 |    2234782 |    1035940
    miss rate                        |      1.98% |      1.96% |      2.58% |      3.19%
    mpki                             |       7.27 |       6.85 |       9.02 |      10.57
  Cache L2                           |            |            |            |           
    num cache accesses               |     339315 |    4345428 |    4419876 |    2389693
    num cache misses                 |     249999 |     822036 |     852729 |     299556
    miss rate                        |     73.68% |     18.92% |     19.29% |     12.54%
    mpki                             |       6.76 |       2.80 |       3.44 |       3.06
  Cache L3                           |            |            |            |           
    num cache accesses               |     250410 |     835043 |     866528 |     310109
    num cache misses                 |     141828 |     159055 |      92518 |      55383
    miss rate                        |     56.64% |     19.05% |     10.68% |     17.86%
    mpki                             |       3.84 |       0.54 |       0.37 |       0.57
DRAM summary                         |            |            |            |           
  num dram accesses                  |     687934 |          0 |          0 |          0
  average dram access latency (ns)   |    2662.93 |        inf |        inf |        inf
  average dram queueing delay        |    2609.50 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      9.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      62590 |     105026 |      38608 |      20498
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
