CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.00       0.00       0.00
depend-int             0.05       0.00       0.00       0.00
depend-branch          0.05       0.00       0.00       0.00
issue-port2            0.02       0.00       0.00       0.00
branch                 0.51       0.00       0.00       0.00
mem-l1d                0.07       0.00       0.00       0.00
mem-l2                 0.02       0.00       0.00       0.00
mem-l3                 0.22       0.00       0.00       0.00
mem-dram               0.44       0.00       0.00       0.00
imbalance-start        0.00     121.34     119.29     118.49
imbalance-end          0.00      27.92      27.44      27.26
other                  0.05       1.30       1.28       1.27

total                  1.67     150.56     148.02     147.01
