CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.00       0.03       0.03       0.03
depend-fp              0.00       0.11       0.12       0.12
depend-branch          0.00       0.02       0.02       0.02
issue-port2            0.00       0.02       0.02       0.02
branch                 0.06       0.07       0.07       0.07
mem-l1d                0.00       0.07       0.07       0.07
mem-l3                 0.00       0.13       0.13       0.12
mem-dram               0.13       0.00       0.00       0.00
sync-futex             4.19       0.01       0.05       0.05
sync-unscheduled        0.00       0.04       0.04       0.04
imbalance-start        0.00       0.05       0.05       0.05
other                  0.14       0.01       0.01       0.01

total                  4.77       0.81       0.86       0.85
