CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.00       0.00       0.00
depend-int             0.05       0.00       0.00       0.00
depend-branch          0.05       0.00       0.00       0.00
issue-port2            0.02       0.00       0.00       0.00
branch                 0.50       0.00       0.00       0.00
mem-l1d                0.06       0.00       0.00       0.00
mem-l3                 0.22       0.41       0.36       0.37
mem-dram               0.44       0.00       0.00       0.00
sync-futex             0.07       0.00       0.00       0.00
imbalance-start        0.00      20.78      21.35      21.07
imbalance-end          0.00       4.87       5.00       4.94
other                  0.04       0.73       0.82       0.79

total                  1.71      26.79      27.53      27.17
