                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   11902839 |  565641772 |  560014137 |  577014657
  Cycles                             |  406143200 |  406143200 |  406143200 |  406143200
  IPC                                |       0.03 |       1.39 |       1.38 |       1.42
  Time (ns)                          |  101535800 |  101535800 |  101535800 |  101535800
  Idle time (ns)                     |   99811804 |    3222576 |    3774891 |    3822254
  Idle time (%)                      |      98.3% |       3.2% |       3.7% |       3.8%
Branch predictor stats               |            |            |            |           
  num correct                        |     861725 |   73039755 |   72956710 |   76162378
  num incorrect                      |      25406 |    1362964 |    1241983 |    1256961
  misprediction rate                 |      2.86% |      1.83% |      1.67% |      1.62%
  mpki                               |       2.13 |       2.41 |       2.22 |       2.18
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    1683878 |   61719591 |   60239852 |   63413149
    num misses                       |        213 |         48 |         48 |         48
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |    4909462 |  223313721 |  221453670 |  228642529
    num misses                       |       3154 |        225 |        406 |        405
    miss rate                        |      0.06% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.26 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |       3367 |        273 |        454 |        453
    num misses                       |        565 |        144 |        150 |        151
    miss rate                        |     16.78% |     52.75% |     33.04% |     33.33%
    mpki                             |       0.05 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    1683878 |   61719591 |   60239852 |   63413149
    num cache misses                 |       7963 |       1844 |       1139 |       1140
    miss rate                        |      0.47% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.67 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    4909462 |  223313721 |  221453670 |  228642529
    num cache misses                 |      43096 |    1618999 |    1537752 |    1307842
    miss rate                        |      0.88% |      0.72% |      0.69% |      0.57%
    mpki                             |       3.62 |       2.86 |       2.75 |       2.27
  Cache L2                           |            |            |            |           
    num cache accesses               |      60467 |    2128942 |    1998232 |    1666050
    num cache misses                 |      18404 |    1233307 |    1254890 |    1119116
    miss rate                        |     30.44% |     57.93% |     62.80% |     67.17%
    mpki                             |       1.55 |       2.18 |       2.24 |       1.94
  Cache L3                           |            |            |            |           
    num cache accesses               |      28035 |    1741470 |    1714170 |    1476035
    num cache misses                 |      13781 |        405 |        162 |        215
    miss rate                        |     49.16% |      0.02% |      0.01% |      0.01%
    mpki                             |       1.16 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |      14548 |          0 |          0 |          0
  average dram access latency (ns)   |      72.56 |        inf |        inf |        inf
  average dram queueing delay        |      19.13 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       9268 |         75 |         20 |         21
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
