CPI                  Core 0     Core 1     Core 2     Core 3     Core 4     Core 5     Core 6     Core 7     Core 8     Core 9     Core 10    Core 11    Core 12    Core 13    Core 14    Core 15  
base                   0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.00       0.00       0.00       0.00       0.00       0.00       0.00
depend                 0.05       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
depend-int             0.00       0.06       0.07       0.07       0.06       0.06       0.06       0.06       0.06       0.00       0.00       0.00       0.00       0.00       0.00       0.00
depend-branch          0.00       0.02       0.00       0.00       0.00       0.00       0.00       0.02       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue                  0.00       0.03       0.00       0.00       0.05       0.05       0.05       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue-port2            0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.03       0.03       0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue-port015          0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.02       0.02       0.00       0.00       0.00       0.00       0.00       0.00       0.00
branch                 0.00       0.17       0.09       0.10       0.09       0.09       0.08       0.13       0.12       0.00       0.00       0.00       0.00       0.00       0.00       0.00
ifetch                 0.08       0.06       0.20       0.21       0.20       0.20       0.20       0.15       0.17       0.00       0.00       0.00       0.00       0.00       0.00       0.00
mem-l1d                0.00       0.11       0.09       0.09       0.08       0.08       0.07       0.08       0.08       0.00       0.00       0.00       0.00       0.00       0.00       0.00
mem-dram               0.20       0.00       0.06       0.07       0.09       0.10       0.12       0.12       0.11       0.00       0.00       0.00       0.00       0.00       0.00       0.00
sync-futex             4.20       0.00       1.05       1.09       0.81       0.83       0.67       0.18       0.51       0.00       0.00       0.00       0.00       0.00       0.00       0.00
sync-unscheduled        0.00       0.00       0.09       0.09       0.07       0.08       0.07       0.03       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
imbalance-start        0.00       0.00       0.07       0.16       0.21       0.29       0.31       0.12       0.21       0.00       0.00       0.00       0.00       0.00       0.00       0.00
imbalance-end          0.00       1.31       3.35       3.40       2.73       2.65       2.17       0.11       0.00   182240435.00   182240435.00   182240435.00   182240435.00   182240435.00   182240435.00   182240435.00
other                  0.14       0.04       0.07       0.08       0.03       0.03       0.02       0.01       0.04       0.00       0.00       0.00       0.00       0.00       0.00       0.00

total                  4.92       2.06       5.38       5.60       4.68       4.70       4.08       1.29       1.60   182240435.00   182240435.00   182240435.00   182240435.00   182240435.00   182240435.00   182240435.00
