CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.00       0.00       0.00
depend-int             0.05       0.00       0.00       0.00
depend-branch          0.05       0.00       0.00       0.00
issue-port2            0.02       0.00       0.00       0.00
branch                 0.49       0.00       0.00       0.00
mem                    0.00       0.55       0.54       0.00
mem-l1d                0.06       0.00       0.00       0.00
mem-l2                 0.02       0.00       0.00       0.00
mem-l3                 0.22       0.00       0.00       0.38
mem-dram               0.44       0.00       0.00       0.00
sync-futex             0.06       0.00       0.00       0.00
imbalance-start        0.00      27.59      28.87      26.25
imbalance-end          0.00       6.53       6.84       6.22
other                  0.03       0.64       0.70       0.75

total                  1.68      35.31      36.94      33.60
