                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    2473826 |          0 |          0 |          0
  Cycles                             |    3517200 |    3517200 |    3517200 |    3517200
  IPC                                |       0.70 |       0.00 |       0.00 |       0.00
  Time (ns)                          |     879300 |     879300 |     879300 |     879300
  Idle time (ns)                     |        270 |     879300 |     879300 |     879300
  Idle time (%)                      |       0.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |           
  num correct                        |     346303 |          0 |          0 |          0
  num incorrect                      |      17122 |          0 |          0 |          0
  misprediction rate                 |      4.71% |      0.00% |      0.00% |      0.00%
  mpki                               |       6.92 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     208083 |          0 |          0 |          0
    num misses                       |        206 |          0 |          0 |          0
    miss rate                        |      0.10% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |     852553 |          0 |          0 |          0
    num misses                       |       3008 |          0 |          0 |          0
    miss rate                        |      0.35% |      0.00% |      0.00% |      0.00%
    mpki                             |       1.22 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |       3214 |          0 |          0 |          0
    num misses                       |        530 |          0 |          0 |          0
    miss rate                        |     16.49% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.21 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     208083 |          0 |          0 |          0
    num cache misses                 |       2916 |          0 |          0 |          0
    miss rate                        |      1.40% |       inf% |       inf% |       inf%
    mpki                             |       1.18 |        inf |        inf |        inf
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     852553 |          0 |          0 |          0
    num cache misses                 |      18107 |          0 |          0 |          0
    miss rate                        |      2.12% |       inf% |       inf% |       inf%
    mpki                             |       7.32 |        inf |        inf |        inf
  Cache L2                           |            |            |            |           
    num cache accesses               |      21345 |          0 |          0 |          0
    num cache misses                 |      13835 |          0 |          0 |          0
    miss rate                        |     64.82% |       inf% |       inf% |       inf%
    mpki                             |       5.59 |        inf |        inf |        inf
  Cache L3                           |            |            |            |           
    num cache accesses               |      14162 |          0 |          0 |          0
    num cache misses                 |      12060 |          0 |          0 |          0
    miss rate                        |     85.16% |       inf% |       inf% |       inf%
    mpki                             |       4.88 |        inf |        inf |        inf
DRAM summary                         |            |            |            |           
  num dram accesses                  |      12058 |          0 |          0 |          0
  average dram access latency (ns)   |      65.58 |        inf |        inf |        inf
  average dram queueing delay        |      12.15 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     11.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       8252 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
