                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   49890438 |   87492042 |   87531083 |   87532812
  Cycles                             |   91954400 |   91954400 |   91954400 |   91954400
  IPC                                |       0.54 |       0.95 |       0.95 |       0.95
  Time (ns)                          |   22988600 |   22988600 |   22988600 |   22988600
  Idle time (ns)                     |   15079948 |    7929560 |    8264822 |    8308704
  Idle time (%)                      |      65.6% |      34.5% |      36.0% |      36.1%
Branch predictor stats               |            |            |            |           
  num correct                        |    8281551 |    5102242 |    5119969 |    5116023
  num incorrect                      |     513860 |     155298 |     140422 |     143948
  misprediction rate                 |      5.84% |      2.95% |      2.67% |      2.74%
  mpki                               |      10.30 |       1.77 |       1.60 |       1.64
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    7583247 |    9800713 |    9805855 |    9808422
    num misses                       |        144 |         59 |         59 |         59
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   17211471 |   25859437 |   25869979 |   25871199
    num misses                       |        750 |       1222 |       1559 |       1515
    miss rate                        |      0.00% |      0.00% |      0.01% |      0.01%
    mpki                             |       0.02 |       0.01 |       0.02 |       0.02
  L2 TLB                             |            |            |            |           
    num accesses                     |        894 |       1281 |       1618 |       1574
    num misses                       |        319 |        144 |        163 |        146
    miss rate                        |     35.68% |     11.24% |     10.07% |      9.28%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    7583247 |    9800713 |    9805855 |    9808422
    num cache misses                 |       2876 |       2966 |       2901 |       2881
    miss rate                        |      0.04% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.06 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   17211471 |   25859437 |   25869979 |   25871199
    num cache misses                 |      11400 |      88282 |      87404 |      86917
    miss rate                        |      0.07% |      0.34% |      0.34% |      0.34%
    mpki                             |       0.23 |       1.01 |       1.00 |       0.99
  Cache L2                           |            |            |            |           
    num cache accesses               |      14372 |      91285 |      90819 |      89829
    num cache misses                 |      10646 |       3489 |       2476 |       2768
    miss rate                        |     74.07% |      3.82% |      2.73% |      3.08%
    mpki                             |       0.21 |       0.04 |       0.03 |       0.03
  Cache L3                           |            |            |            |           
    num cache accesses               |      10747 |       3527 |       2990 |       2799
    num cache misses                 |       8911 |        298 |        427 |        221
    miss rate                        |     82.92% |      8.45% |     14.28% |      7.90%
    mpki                             |       0.18 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9857 |          0 |          0 |          0
  average dram access latency (ns)   |     516.06 |        inf |        inf |        inf
  average dram queueing delay        |     462.63 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       2575 |        183 |        246 |        133
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
