CPI                  Core 0     Core 1     Core 2     Core 3     Core 4     Core 5     Core 6     Core 7     Core 8     Core 9     Core 10    Core 11    Core 12    Core 13    Core 14    Core 15  
base                   0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.00       0.00       0.00       0.00
depend-int             0.03       0.07       0.07       0.07       0.07       0.07       0.07       0.07       0.07       0.07       0.07       0.00       0.00       0.00       0.00       0.00
depend-fp              0.04       0.13       0.13       0.12       0.13       0.13       0.12       0.13       0.13       0.13       0.12       0.00       0.00       0.00       0.00       0.00
issue                  0.00       0.02       0.02       0.02       0.02       0.02       0.02       0.02       0.02       0.02       0.02       0.00       0.00       0.00       0.00       0.00
issue-port1            0.02       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
branch                 0.05       0.06       0.06       0.06       0.06       0.06       0.06       0.06       0.06       0.06       0.06       0.00       0.00       0.00       0.00       0.00
ifetch                 0.00       0.04       0.04       0.03       0.04       0.03       0.04       0.03       0.03       0.03       0.04       0.00       0.00       0.00       0.00       0.00
mem-l1d                0.02       0.05       0.05       0.05       0.05       0.05       0.05       0.05       0.05       0.05       0.05       0.07       0.00       0.00       0.00       0.00
mem-dram               0.24       0.08       0.08       0.07       0.08       0.07       0.08       0.08       0.07       0.07       0.08       0.26       0.00       0.00       0.00       0.00
sync-futex             0.94       0.81       0.81       0.82       0.81       0.82       0.80       0.80       0.81       0.81       0.80       0.00       0.00       0.00       0.00       0.00
imbalance-start        0.00       0.04       0.04       0.04       0.04       0.04       0.04       0.03       0.04       0.04       0.03       0.18       0.00       0.00       0.00       0.00
imbalance-end          0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       5.69   163549859.00   163549859.00   163549859.00   163549859.00
other                  0.03       0.04       0.04       0.04       0.04       0.04       0.04       0.04       0.04       0.04       0.04       0.06       0.00       0.00       0.00       0.00

total                  1.62       1.59       1.58       1.58       1.58       1.58       1.58       1.57       1.57       1.57       1.57       6.52   163549859.00   163549859.00   163549859.00   163549859.00
