CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.00       0.00
depend                 0.00       0.04       0.00       0.00
depend-int             0.09       0.00       0.00       0.00
depend-branch          0.02       0.00       0.00       0.00
issue                  0.00       0.04       0.00       0.00
issue-port2            0.02       0.00       0.00       0.00
branch                 0.23       0.11       0.00       0.00
ifetch                 0.15       0.00       0.00       0.00
mem-l1d                0.04       0.05       0.00       0.00
mem-dram               0.59       0.00       0.00       0.00
sync-futex             0.26       0.00       0.80       0.57
imbalance-start        0.00       2.89      24.48      20.94
imbalance-end          0.00       0.07       3.64       3.08
other                  0.03       0.07       0.95       0.95

total                  1.67       3.53      29.87      25.55
