CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.00       0.00       0.00
depend-int             0.10       0.00       0.00       0.00
depend-branch          0.03       0.00       0.00       0.00
issue-port2            0.02       0.00       0.00       0.00
branch                 0.24       0.00       0.00       0.00
ifetch                 0.15       0.00       0.00       0.00
mem-l1d                0.04       0.00       0.00       0.00
mem-dram               0.57       0.00       0.00       0.00
imbalance-end          0.00   3525209.00   3525209.00   3525209.00
other                  0.03       0.00       0.00       0.00

total                  1.42   3525209.00   3525209.00   3525209.00
