                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   96167702 |  154013566 |  153136911 |  151276571 |  150630799 |  152655908 |  153980381 |  151193496 |   25095209 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  196371200 |  196371200 |  196371200 |  196371200 |  196371200 |  196371200 |  196371200 |  196371200 |  196371200 |  196371200 |  196371200 |  196371200 |  196371200 |  196371200 |  196371200 |  196371200
  IPC                                |       0.49 |       0.78 |       0.78 |       0.77 |       0.77 |       0.78 |       0.78 |       0.77 |       0.13 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   49092800 |   49092800 |   49092800 |   49092800 |   49092800 |   49092800 |   49092800 |   49092800 |   49092800 |   49092800 |   49092800 |   49092800 |   49092800 |   49092800 |   49092800 |   49092800
  Idle time (ns)                     |   32683691 |   21341812 |   21445015 |   21442759 |   21623960 |   21570951 |   21424420 |   21511242 |   45110696 |   49092800 |   49092800 |   49092800 |   49092800 |   49092800 |   49092800 |   49092800
  Idle time (%)                      |      66.6% |      43.5% |      43.7% |      43.7% |      44.0% |      43.9% |      43.6% |      43.8% |      91.9% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    5250484 |   14789020 |   14785906 |   14540550 |   14463999 |   14700223 |   14891437 |   14586896 |    1567421 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |     123070 |     321079 |     314034 |     310468 |     309058 |     320425 |     316585 |     309479 |       7816 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      2.29% |      2.12% |      2.08% |      2.09% |      2.09% |      2.13% |      2.08% |      2.08% |      0.50% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       1.28 |       2.08 |       2.05 |       2.05 |       2.05 |       2.10 |       2.06 |       2.05 |       0.31 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   11300965 |   13763856 |   13699511 |   13538089 |   13484376 |   13654681 |   13778033 |   13532220 |    2797326 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |        568 |         87 |         84 |         84 |         84 |         84 |         84 |         84 |         87 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   24420115 |   38249364 |   37775265 |   37386572 |   37113168 |   37786397 |   38043998 |   37281036 |    7855556 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |      20179 |     135344 |     133112 |     134396 |     132965 |     135892 |     133532 |     132845 |       2341 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.08% |      0.35% |      0.35% |      0.36% |      0.36% |      0.36% |      0.35% |      0.36% |      0.03% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.21 |       0.88 |       0.87 |       0.89 |       0.88 |       0.89 |       0.87 |       0.88 |       0.09 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      20747 |     135431 |     133196 |     134480 |     133049 |     135976 |     133616 |     132929 |       2428 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |       3185 |       7634 |       7598 |       7751 |       8794 |       8072 |       7645 |       8910 |        948 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     15.35% |      5.64% |      5.70% |      5.76% |      6.61% |      5.94% |      5.72% |      6.70% |     39.04% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.03 |       0.05 |       0.05 |       0.05 |       0.06 |       0.05 |       0.05 |       0.06 |       0.04 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
