CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.05       0.00       0.00       0.00
depend-branch          0.05       0.00       0.00       0.00
issue-port2            0.02       0.00       0.00       0.00
branch                 0.50       0.00       0.00       0.00
mem-l1d                0.06       0.00       0.00       0.00
mem-l3                 0.22       0.53       0.53       0.53
mem-dram               0.44       0.37       0.37       0.37
sync-futex             0.24       0.70       0.70       0.70
imbalance-start        0.00      12.44      12.44      12.44
imbalance-end          0.00       2.88       2.88       2.88
other                  0.04       0.38       0.38       0.37

total                  1.87      17.55      17.55      17.55
