                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    2413845 |  222428629 |  222321845 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  141209600 |  141209600 |  141209600 |  141209600 |  141209600 |  141209600 |  141209600 |  141209600 |  141209600 |  141209600 |  141209600 |  141209600 |  141209600 |  141209600 |  141209600 |  141209600
  IPC                                |       0.02 |       1.58 |       1.57 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   35302400 |   35302400 |   35302400 |   35302400 |   35302400 |   35302400 |   35302400 |   35302400 |   35302400 |   35302400 |   35302400 |   35302400 |   35302400 |   35302400 |   35302400 |   35302400
  Idle time (ns)                     |   34417580 |     885296 |     904174 |   35302400 |   35302400 |   35302400 |   35302400 |   35302400 |   35302400 |   35302400 |   35302400 |   35302400 |   35302400 |   35302400 |   35302400 |   35302400
  Idle time (%)                      |      97.5% |       2.5% |       2.6% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     333195 |   21118826 |   21104487 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |      16755 |     705391 |     703736 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      4.79% |      3.23% |      3.23% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
