CPI                  Core 0     Core 1     Core 2     Core 3     Core 4     Core 5     Core 6     Core 7     Core 8     Core 9     Core 10    Core 11    Core 12    Core 13    Core 14    Core 15  
base                   0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.00       0.00       0.00       0.00       0.00       0.00       0.00
depend                 0.00       0.00       0.08       0.08       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
depend-int             0.00       0.06       0.00       0.00       0.06       0.05       0.05       0.05       0.05       0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue                  0.00       0.00       0.00       0.00       0.00       0.05       0.05       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue-port2            0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.03       0.03       0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue-port015          0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.02       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
branch                 0.00       0.17       0.09       0.09       0.08       0.07       0.07       0.12       0.11       0.00       0.00       0.00       0.00       0.00       0.00       0.00
ifetch                 0.08       0.06       0.19       0.20       0.19       0.19       0.18       0.23       0.21       0.00       0.00       0.00       0.00       0.00       0.00       0.00
mem-l1d                0.00       0.11       0.09       0.08       0.07       0.06       0.05       0.06       0.07       0.00       0.00       0.00       0.00       0.00       0.00       0.00
mem-dram               0.20       0.00       0.00       0.09       0.11       0.13       0.14       0.18       0.17       0.00       0.00       0.00       0.00       0.00       0.00       0.00
sync-futex             5.84       0.00       1.06       0.82       0.62       0.51       0.46       0.15       0.57       0.00       0.00       0.00       0.00       0.00       0.00       0.00
sync-unscheduled        0.00       0.00       0.09       0.07       0.06       0.06       0.05       0.02       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
imbalance-start        0.00       0.00       0.00       0.14       0.18       0.22       0.24       0.09       0.17       0.00       0.00       0.00       0.00       0.00       0.00       0.00
imbalance-end          0.00       2.00       5.14       4.42       3.64       3.09       2.61       0.12       0.00   242834022.00   242834022.00   242834022.00   242834022.00   242834022.00   242834022.00   242834022.00
other                  0.19       0.09       0.19       0.06       0.08       0.02       0.02       0.03       0.05       0.00       0.00       0.00       0.00       0.00       0.00       0.00

total                  6.56       2.74       7.17       6.31       5.35       4.70       4.19       1.35       1.69   242834022.00   242834022.00   242834022.00   242834022.00   242834022.00   242834022.00   242834022.00
