                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    2387408 |   58337339 |   58324247 |   58331255 |   58324232 |   58324247 |   58324232 |   58324232 |   58324247 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |   38953200 |   38953200 |   38953200 |   38953200 |   38953200 |   38953200 |   38953200 |   38953200 |   38953200 |   38953200 |   38953200 |   38953200 |   38953200 |   38953200 |   38953200 |   38953200
  IPC                                |       0.06 |       1.50 |       1.50 |       1.50 |       1.50 |       1.50 |       1.50 |       1.50 |       1.50 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |    9738300 |    9738300 |    9738300 |    9738300 |    9738300 |    9738300 |    9738300 |    9738300 |    9738300 |    9738300 |    9738300 |    9738300 |    9738300 |    9738300 |    9738300 |    9738300
  Idle time (ns)                     |    8875244 |     881202 |     864490 |     881785 |     866630 |     862402 |     864430 |     864329 |     866298 |    9738300 |    9738300 |    9738300 |    9738300 |    9738300 |    9738300 |    9738300
  Idle time (%)                      |      91.1% |       9.0% |       8.9% |       9.1% |       8.9% |       8.9% |       8.9% |       8.9% |       8.9% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     329870 |    5607880 |    5606414 |    5607172 |    5606414 |    5606414 |    5606414 |    5606414 |    5606414 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |      16055 |     180326 |     180009 |     180229 |     180007 |     180009 |     180007 |     180007 |     180009 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      4.64% |      3.12% |      3.11% |      3.11% |      3.11% |      3.11% |      3.11% |      3.11% |      3.11% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       6.72 |       3.09 |       3.09 |       3.09 |       3.09 |       3.09 |       3.09 |       3.09 |       3.09 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     204325 |    7824334 |    7822634 |    7823531 |    7822628 |    7822634 |    7822628 |    7822628 |    7822634 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |        184 |         46 |         45 |         46 |         45 |         45 |         45 |         45 |         45 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.09% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     806833 |   20546852 |   20541954 |   20544565 |   20541952 |   20541955 |   20541952 |   20541952 |   20541954 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |       1785 |        149 |        538 |        146 |         73 |        383 |        383 |        383 |        383 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.22% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.75 |       0.00 |       0.01 |       0.00 |       0.00 |       0.01 |       0.01 |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
