                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    2404887 |    1146316 |    1157225 |    1362854
  Cycles                             |   10740400 |   10740400 |   10740400 |   10740400
  IPC                                |       0.22 |       0.11 |       0.11 |       0.13
  Time (ns)                          |    2685100 |    2685100 |    2685100 |    2685100
  Idle time (ns)                     |    1836973 |    2476947 |    2461547 |    2442918
  Idle time (%)                      |      68.4% |      92.2% |      91.7% |      91.0%
Branch predictor stats               |            |            |            |           
  num correct                        |     331969 |     160344 |     161731 |     190971
  num incorrect                      |      16181 |       5831 |       6128 |       6748
  misprediction rate                 |      4.65% |      3.51% |      3.65% |      3.41%
  mpki                               |       6.73 |       5.09 |       5.30 |       4.95
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     204794 |     185079 |     186552 |     220561
    num misses                       |        192 |         72 |         69 |         67
    miss rate                        |      0.09% |      0.04% |      0.04% |      0.03%
    mpki                             |       0.08 |       0.06 |       0.06 |       0.05
  D-TLB                              |            |            |            |           
    num accesses                     |     814959 |     512767 |     516779 |     610491
    num misses                       |       1811 |        236 |        237 |        143
    miss rate                        |      0.22% |      0.05% |      0.05% |      0.02%
    mpki                             |       0.75 |       0.21 |       0.20 |       0.10
  L2 TLB                             |            |            |            |           
    num accesses                     |       2003 |        308 |        306 |        210
    num misses                       |        505 |        163 |        162 |        147
    miss rate                        |     25.21% |     52.92% |     52.94% |     70.00%
    mpki                             |       0.21 |       0.14 |       0.14 |       0.11
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     204794 |     185079 |     186552 |     220561
    num cache misses                 |       2854 |       1252 |       1202 |       1277
    miss rate                        |      1.39% |      0.68% |      0.64% |      0.58%
    mpki                             |       1.19 |       1.09 |       1.04 |       0.94
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     814959 |     512767 |     516779 |     610491
    num cache misses                 |      17470 |       3486 |       3959 |       3911
    miss rate                        |      2.14% |      0.68% |      0.77% |      0.64%
    mpki                             |       7.26 |       3.04 |       3.42 |       2.87
  Cache L2                           |            |            |            |           
    num cache accesses               |      20773 |       5699 |       6051 |       6511
    num cache misses                 |      13608 |       4043 |       4534 |       4480
    miss rate                        |     65.51% |     70.94% |     74.93% |     68.81%
    mpki                             |       5.66 |       3.53 |       3.92 |       3.29
  Cache L3                           |            |            |            |           
    num cache accesses               |      14062 |       5005 |       5425 |       5803
    num cache misses                 |      11958 |        361 |        459 |        325
    miss rate                        |     85.04% |      7.21% |      8.46% |      5.60%
    mpki                             |       4.97 |       0.31 |       0.40 |       0.24
DRAM summary                         |            |            |            |           
  num dram accesses                  |      13100 |          0 |          0 |          0
  average dram access latency (ns)   |      69.30 |        inf |        inf |        inf
  average dram queueing delay        |      15.87 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      4.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       8158 |         84 |         95 |         73
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
