CPI                  Core 0     Core 1     Core 2     Core 3     Core 4     Core 5     Core 6     Core 7     Core 8     Core 9     Core 10    Core 11    Core 12    Core 13    Core 14    Core 15  
base                   0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.00       0.00       0.00       0.00       0.00       0.00       0.00
depend                 0.00       0.00       0.08       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
depend-int             0.00       0.07       0.00       0.06       0.06       0.05       0.05       0.05       0.05       0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue                  0.00       0.03       0.00       0.00       0.00       0.05       0.05       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue-port2            0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.03       0.03       0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue-port015          0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.02       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
branch                 0.00       0.17       0.09       0.09       0.08       0.07       0.07       0.12       0.11       0.00       0.00       0.00       0.00       0.00       0.00       0.00
ifetch                 0.08       0.06       0.19       0.20       0.19       0.19       0.19       0.23       0.21       0.00       0.00       0.00       0.00       0.00       0.00       0.00
mem-l1d                0.00       0.11       0.09       0.08       0.07       0.06       0.05       0.06       0.07       0.00       0.00       0.00       0.00       0.00       0.00       0.00
mem-dram               0.20       0.00       0.00       0.09       0.11       0.13       0.14       0.18       0.17       0.00       0.00       0.00       0.00       0.00       0.00       0.00
sync-futex             5.78       0.00       1.05       0.82       0.63       0.51       0.46       0.15       0.56       0.00       0.00       0.00       0.00       0.00       0.00       0.00
sync-unscheduled        0.00       0.00       0.09       0.07       0.06       0.06       0.05       0.02       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
imbalance-start        0.00       0.00       0.00       0.14       0.18       0.22       0.24       0.09       0.17       0.00       0.00       0.00       0.00       0.00       0.00       0.00
imbalance-end          0.00       1.97       5.08       4.37       3.60       3.05       2.57       0.12       0.00   240595235.00   240595235.00   240595235.00   240595235.00   240595235.00   240595235.00   240595235.00
other                  0.19       0.06       0.19       0.08       0.08       0.02       0.02       0.03       0.05       0.00       0.00       0.00       0.00       0.00       0.00       0.00

total                  6.50       2.71       7.10       6.25       5.30       4.66       4.15       1.34       1.67   240595235.00   240595235.00   240595235.00   240595235.00   240595235.00   240595235.00   240595235.00
