                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   11655526 |  627005493 |  619301121 |  661838546 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  521514900 |  521514900 |  521514900 |  521514900 |  521514900 |  521514900 |  521514900 |  521514900 |  521514900 |  521514900 |  521514900 |  521514900 |  521514900 |  521514900 |  521514900 |  521514900
  IPC                                |       0.02 |       1.20 |       1.19 |       1.27 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |  173838300 |  173838300 |  173838300 |  173838300 |  173838300 |  173838300 |  173838300 |  173838300 |  173838300 |  173838300 |  173838300 |  173838300 |  173838300 |  173838300 |  173838300 |  173838300
  Idle time (ns)                     |  171727065 |    3293596 |    4024198 |    3974849 |  173838300 |  173838300 |  173838300 |  173838300 |  173838300 |  173838300 |  173838300 |  173838300 |  173838300 |  173838300 |  173838300 |  173838300
  Idle time (%)                      |      98.8% |       1.9% |       2.3% |       2.3% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     828046 |   82762348 |   82366636 |   91116238 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |      21538 |    1602527 |    1317591 |    1397809 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      2.54% |      1.90% |      1.57% |      1.51% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       1.85 |       2.56 |       2.13 |       2.11 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1664336 |   42661244 |   40690078 |   41061541 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
