                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    2410139 |   71266534 |   71199444 |   85422811
  Cycles                             |   56412400 |   56412400 |   56412400 |   56412400
  IPC                                |       0.04 |       1.26 |       1.26 |       1.51
  Time (ns)                          |   14103100 |   14103100 |   14103100 |   14103100
  Idle time (ns)                     |   13253678 |    3040955 |    3048388 |     848336
  Idle time (%)                      |      94.0% |      21.6% |      21.6% |       6.0%
Branch predictor stats               |            |            |            |           
  num correct                        |     333001 |    6796270 |    6786454 |    8141285
  num incorrect                      |      16518 |     213485 |     213045 |     255317
  misprediction rate                 |      4.73% |      3.05% |      3.04% |      3.04%
  mpki                               |       6.85 |       3.00 |       2.99 |       2.99
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     206628 |    9440726 |    9430619 |   11314347
    num misses                       |        191 |         70 |         46 |         46
    miss rate                        |      0.09% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |     817055 |   25153962 |   25128050 |   30146361
    num misses                       |       1576 |        671 |        164 |        599
    miss rate                        |      0.19% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.65 |       0.01 |       0.00 |       0.01
  L2 TLB                             |            |            |            |           
    num accesses                     |       1767 |        741 |        210 |        645
    num misses                       |        488 |        180 |        149 |        150
    miss rate                        |     27.62% |     24.29% |     70.95% |     23.26%
    mpki                             |       0.20 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     206628 |    9440726 |    9430619 |   11314347
    num cache misses                 |       2900 |       9792 |       8419 |       9997
    miss rate                        |      1.40% |      0.10% |      0.09% |      0.09%
    mpki                             |       1.20 |       0.14 |       0.12 |       0.12
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     817055 |   25153962 |   25128050 |   30146361
    num cache misses                 |      17486 |     282111 |     282610 |     338073
    miss rate                        |      2.14% |      1.12% |      1.12% |      1.12%
    mpki                             |       7.26 |       3.96 |       3.97 |       3.96
  Cache L2                           |            |            |            |           
    num cache accesses               |      20835 |     292205 |     291336 |     348426
    num cache misses                 |      13596 |       3277 |       3040 |       3352
    miss rate                        |     65.26% |      1.12% |      1.04% |      0.96%
    mpki                             |       5.64 |       0.05 |       0.04 |       0.04
  Cache L3                           |            |            |            |           
    num cache accesses               |      14050 |       3587 |       3354 |       3716
    num cache misses                 |      11954 |       2218 |       2291 |       2541
    miss rate                        |     85.08% |     61.83% |     68.31% |     68.38%
    mpki                             |       4.96 |       0.03 |       0.03 |       0.03
DRAM summary                         |            |            |            |           
  num dram accesses                  |      18733 |          0 |          0 |          0
  average dram access latency (ns)   |     192.41 |        inf |        inf |        inf
  average dram queueing delay        |     138.98 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       8162 |        556 |        587 |        581
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
