                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    2414173 |  151950218 |  151843565 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |   97674400 |   97674400 |   97674400 |   97674400 |   97674400 |   97674400 |   97674400 |   97674400 |   97674400 |   97674400 |   97674400 |   97674400 |   97674400 |   97674400 |   97674400 |   97674400
  IPC                                |       0.02 |       1.56 |       1.55 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   24418600 |   24418600 |   24418600 |   24418600 |   24418600 |   24418600 |   24418600 |   24418600 |   24418600 |   24418600 |   24418600 |   24418600 |   24418600 |   24418600 |   24418600 |   24418600
  Idle time (ns)                     |   23535840 |     883384 |     890029 |   24418600 |   24418600 |   24418600 |   24418600 |   24418600 |   24418600 |   24418600 |   24418600 |   24418600 |   24418600 |   24418600 |   24418600 |   24418600
  Idle time (%)                      |      96.4% |       3.6% |       3.6% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     333183 |   14733236 |   14716656 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |      16813 |     475632 |     476223 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      4.80% |      3.13% |      3.13% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       6.96 |       3.13 |       3.14 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     207566 |   21071832 |   21055939 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
