CPI                  Core 0     Core 1     Core 2     Core 3     Core 4     Core 5     Core 6     Core 7     Core 8     Core 9     Core 10    Core 11    Core 12    Core 13    Core 14    Core 15  
base                   0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.00       0.00       0.00       0.00
depend-int             0.03       0.07       0.07       0.07       0.07       0.07       0.07       0.07       0.07       0.07       0.07       0.00       0.00       0.00       0.00       0.00
depend-fp              0.04       0.12       0.12       0.12       0.12       0.12       0.12       0.12       0.12       0.12       0.12       0.00       0.00       0.00       0.00       0.00
issue                  0.00       0.02       0.02       0.02       0.02       0.02       0.02       0.02       0.02       0.02       0.02       0.00       0.00       0.00       0.00       0.00
issue-port1            0.02       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
branch                 0.05       0.06       0.06       0.06       0.06       0.06       0.06       0.06       0.06       0.06       0.06       0.00       0.00       0.00       0.00       0.00
ifetch                 0.00       0.04       0.04       0.05       0.04       0.04       0.04       0.04       0.04       0.04       0.04       0.00       0.00       0.00       0.00       0.00
mem-l1d                0.02       0.05       0.05       0.05       0.05       0.05       0.05       0.05       0.05       0.05       0.05       0.07       0.00       0.00       0.00       0.00
mem-dram               0.24       0.07       0.07       0.09       0.07       0.07       0.07       0.08       0.07       0.07       0.07       0.26       0.00       0.00       0.00       0.00
sync-futex             0.99       0.77       0.76       0.78       0.76       0.77       0.76       0.77       0.76       0.76       0.75       0.00       0.00       0.00       0.00       0.00
imbalance-start        0.00       0.03       0.03       0.03       0.03       0.03       0.03       0.03       0.03       0.03       0.03       0.18       0.00       0.00       0.00       0.00
imbalance-end          0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       5.81   166456739.00   166456739.00   166456739.00   166456739.00
other                  0.03       0.04       0.04       0.04       0.04       0.04       0.04       0.04       0.04       0.04       0.04       0.06       0.00       0.00       0.00       0.00

total                  1.68       1.52       1.52       1.57       1.51       1.52       1.51       1.53       1.51       1.50       1.51       6.63   166456739.00   166456739.00   166456739.00   166456739.00
