CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.00       0.00
depend                 0.00       0.04       0.00       0.00
depend-int             0.09       0.00       0.00       0.00
depend-branch          0.02       0.00       0.00       0.00
issue                  0.00       0.04       0.00       0.00
issue-port2            0.02       0.00       0.00       0.00
branch                 0.23       0.10       0.00       0.00
ifetch                 0.15       0.04       0.00       0.00
mem-l1d                0.04       0.07       0.00       0.00
mem-dram               0.59       0.00       0.00       0.00
sync-futex             0.28       0.00       0.68       0.51
imbalance-start        0.00       2.75      24.54      21.21
imbalance-end          0.00       0.07       4.07       3.45
other                  0.02       0.04       0.93       0.94

total                  1.70       3.38      30.22      26.11
